Pos.,Piloto,Equipe,Grid,Paradas,Melhor tempo,Tempo,Pts.,tipo de piloto
1,Matheus,Visa Cash App Racing Bulls,6,2,1:13.395,45:51.312,25,Pessoa
2,Yohan,Red Bull,1,2,1:13.601,51.932,18,Pessoa
3,Bryan,Scuderia Ferrari HP,2,2,1:14.382,55.509,15,Pessoa
4,Douglas,Mercedes-AMG Petronas,4,2,1:14.602,+1:13.802,12,Pessoa
5,Gabriel,Visa Cash App Racing Bulls,3,2,1:14.282,+ 1 volta,10,Pessoa
6,Erick,Red Bull,7,2,1:15.322,+ 1 volta,8,Pessoa
7,Paulo,Scuderia Ferrari HP,5,2,1:14.027,DSQ,0,Pessoa
,,,,,,,,
Tempo,Volta,Piloto,Equipe,Incidente,Punição,,,
20.811,1,Douglas,Mercedes-AMG Petronas,Limites da pista excedidos,Aviso,,,
1:11.652,1,Yohan,Red Bull,Limites da pista excedidos,Aviso,,,
1:13.963,1,Douglas,Mercedes-AMG Petronas,Limites da pista excedidos,Aviso,,,
1:14.422,1,Pessoa,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
1:14.809,1,Matheus,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
1:15.784,1,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
1:37.357,2,Pessoa,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
1:39.102,2,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
1:57.814,2,Douglas,Mercedes-AMG Petronas,Limites da pista excedidos,Aviso,,,
1:57.820,2,Douglas,Mercedes-AMG Petronas,Múltiplas advertências,3 segundo(s),,,
2:01.613,2,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
2:01.630,2,Pessoa,Red Bull,Múltiplas advertências,3 segundo(s),,,
2:29.148,2,Pessoa,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
2:29.166,2,Pessoa,Scuderia Ferrari HP,Múltiplas advertências,3 segundo(s),,,
2:47.438,3,Yohan,Red Bull,Limites da pista excedidos,Aviso,,,
2:51.062,3,Pessoa,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
3:12.406,3,Gabriel,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
3:45.294,3,Matheus,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
3:46.113,3,Douglas,Mercedes-AMG Petronas,Limites da pista excedidos,Aviso,,,
4:07.171,4,Pessoa,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
4:28.559,4,Bryan,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
4:59.061,4,Gabriel,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
5:00.651,4,Bryan,Scuderia Ferrari HP,Corte de curvas,Aviso,,,
5:00.614,4,Matheus,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
5:00.621,4,Matheus,Visa Cash App Racing Bulls,Múltiplas advertências,3 segundo(s),,,
5:30.423,5,Yohan,Red Bull,Limites da pista excedidos,Aviso,,,
5:30.428,5,Yohan,Red Bull,Múltiplas advertências,3 segundo(s),,,
5:33.912,5,Pessoa,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
