Pos.,Piloto,Equipe,Grid,Paradas,Melhor tempo,Tempo,Pts.,tipo de piloto
1,Matheus,Visa Cash App Racing Bulls,1,2,1:37.471,49:11.029,25,Pessoa
2,Bryan,Scuderia Ferrari HP,6,2,1:36.679,0.997,18,Pessoa
3,Yohan,Red Bull,3,2,1:37.989,21.891,15,Pessoa
4,Douglas,Mercedes-AMG Petronas,4,2,1:36.853,31.139,12,Pessoa
5,Gabriel,Visa Cash App Racing Bulls,5,2,1:37.729,+ 1 volta,10,Pessoa
6,Paulo,Scuderia Ferrari HP,2,4,1:38.580,+ 1 volta,8,Pessoa
7,Erick,Red Bull,7,0,--:--.---,NC,0,Pessoa
,,,,,,,,
Tempo,Volta,Piloto,Equipe,Incidente,Punição,,,
--:--.---,1,Pessoa,Red Bull,Queimou largada,Punição de drive through,,,
--:--.---,1,Pessoa,Red Bull,Queimou largada,Tempo de volta inválido,,,
16.791,1,Douglas,Mercedes-AMG Petronas,Colisão com Pessoa,Aviso,,,
19.77,1,Pessoa,Visa Cash App Racing Bulls,Colisão com Douglas,Aviso,,,
24.997,1,Pessoa,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
1:13.192,1,Douglas,Mercedes-AMG Petronas,Limites da pista excedidos,Aviso,,,
3:15.860,2,Bryan,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
3:30.246,2,Pessoa,Red Bull,Dano terminal,NC,,,
4:01.405,3,Douglas,Mercedes-AMG Petronas,Limites da pista excedidos,Aviso,,,
12:16.459,6,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
12:36.607,7,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
13:48.163,7,Pessoa,Visa Cash App Racing Bulls,Colisão com Matheus,Aviso,,,
14:21.342,8,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
14:21.347,8,Pessoa,Red Bull,Múltiplas advertências,3 segundo(s),,,
15:40.597,8,Douglas,Mercedes-AMG Petronas,Limites da pista excedidos,Aviso,,,
15:40.602,8,Douglas,Mercedes-AMG Petronas,Múltiplas advertências,3 segundo(s),,,
17:18.874,9,Pessoa,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
18:48.958,10,Douglas,Mercedes-AMG Petronas,Limites da pista excedidos,Punição de 10 segundo(s),,,
19:07.746,10,Paulo,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
19:09.263,10,Paulo,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
22:42.524,13,Pessoa,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
22:42.531,13,Pessoa,Visa Cash App Racing Bulls,Múltiplas advertências,3 segundo(s),,,
29:36.240,16,Paulo,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
29:36.258,16,Paulo,Scuderia Ferrari HP,Múltiplas advertências,3 segundo(s),,,
31:10.507,17,Paulo,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
32:07.235,18,Paulo,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
40:18.463,23,Bryan,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
40:31.955,23,Pessoa,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
40:40.087,23,Matheus,Visa Cash App Racing Bulls,Colisão com Bryan,Aviso,,,
41:19.306,23,Paulo,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
41:19.323,23,Paulo,Scuderia Ferrari HP,Múltiplas advertências,3 segundo(s),,,
41:47.080,23,Paulo,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
43:27.559,24,Paulo,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
43:34.110,24,Paulo,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
43:34.127,24,Paulo,Scuderia Ferrari HP,Múltiplas advertências,3 segundo(s),,,
44:50.255,26,Pessoa,Visa Cash App Racing Bulls,Corte de curvas,Aviso,,,
45:00.240,25,Paulo,Scuderia Ferrari HP,Limites da pista excedidos,10 segundo(s),,,
47:43.042,26,Paulo,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
48:27.438,26,Paulo,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
49:10.579,28,Pessoa,Visa Cash App Racing Bulls,Dano terminal,NC,,,
