Pos.,Piloto,Equipe,Grid,Paradas,Melhor tempo,Tempo,Pts.,tipo de piloto
1,Bryan,Scuderia Ferrari HP,1,2,1:30.595,45:45.688,25,Pessoa
2,Matheus,Visa Cash App Racing Bulls,2,2,1:32.208,11.703,18,Pessoa
3,Douglas,Mercedes-AMG Petronas,4,2,1:31.703,34.496,15,Pessoa
4,Pessoa,Visa Cash App Racing Bulls,7,2,1:32.151,52.359,12,Pessoa
5,Yohan,Red Bull,3,3,1:31.356,+ 1 volta,10,Pessoa
6,Paulo,Scuderia Ferrari HP,5,3,1:32.648,+ 1 volta,8,Pessoa
7,Erick,Red Bull,6,4,1:33.710,+ 2 voltas,6,Pessoa
,,,,,,,,
Tempo,Volta,Piloto,Equipe,Incidente,Punição,,,
11.123,1,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
12.515,1,Matheus,Visa Cash App Racing Bulls,Colisão com Bryan,Aviso,,,
33.579,1,Matheus,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
1:03.830,1,Paulo,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
1:05.717,1,Pessoa,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
1:54.442,2,Bryan,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
2:35.435,2,Paulo,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
3:26.370,3,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
3:44.969,3,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
3:44.985,3,Pessoa,Red Bull,Múltiplas advertências,3 segundo(s),,,
5:06.196,4,Paulo,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
5:06.212,4,Paulo,Scuderia Ferrari HP,Múltiplas advertências,3 segundo(s),,,
5:06.212,4,Pessoa,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
9:27.211,6,Pessoa,Red Bull,Corte de curvas,Aviso,,,
9:51.124,7,Pessoa,Visa Cash App Racing Bulls,Corte de curvas,Aviso,,,
9:51.131,7,Pessoa,Visa Cash App Racing Bulls,Múltiplas advertências,3 segundo(s),,,
10:34.648,7,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
12:25.339,8,Bryan,Scuderia Ferrari HP,Excesso de velocidade no pit lane,Punição de 10 segundo(s),,,
13:55.814,9,Pessoa,Red Bull,Corte de curvas,Aviso,,,
13:55.834,9,Pessoa,Red Bull,Múltiplas advertências,3 segundo(s),,,
16:26.209,10,Pessoa,Red Bull,Corte de curvas,Aviso,,,
16:27.841,11,Pessoa,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
