Pos.,Piloto,Equipe,Grid,Paradas,Melhor tempo,Tempo,Pts.,tipo de piloto
1,Matheus,Visa Cash App Racing Bulls,2,0,1:30.370,7:38.727,25,Pessoa
2,Douglas,Mercedes-AMG Petronas,4,0,1:30.838,6.043,18,Pessoa
3,Bryan,Scuderia Ferrari HP,1,0,1:29.497,11.531,15,Pessoa
4,Yohan,Red Bull,7,0,1:31.631,12.435,12,Pessoa
5,Paulo,Scuderia Ferrari HP,3,0,1:31.615,14.221,10,Pessoa
6,Erick,Red Bull,5,0,1:34.206,23.789,8,Pessoa
7,Gabriel,Visa Cash App Racing Bulls,6,1,1:31.649,38.016,6,Pessoa
,,,,,,,,
Tempo,Volta,Piloto,Equipe,Incidente,Punição,,,
11.417,1,Bryan,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
11.455,1,Pessoa,Visa Cash App Racing Bulls,Colisão com Douglas,Aviso,,,
12.518,1,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
24.343,1,Matheus,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
50.306,1,Douglas,Mercedes-AMG Petronas,Limites da pista excedidos,Aviso,,,
50.925,1,Douglas,Mercedes-AMG Petronas,Limites da pista excedidos,2 segundo(s),,,
53.162,1,Paulo,Scuderia Ferrari HP,Corte de curvas,Aviso,,,
1:05.169,1,Pessoa,Visa Cash App Racing Bulls,Corte de curvas,Aviso,,,
1:06.274,1,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
1:08.285,1,Pessoa,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
1:08.964,1,Yohan,Red Bull,Limites da pista excedidos,Aviso,,,
1:57.587,2,Paulo,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
1:59.975,2,Douglas,Mercedes-AMG Petronas,Limites da pista excedidos,Aviso,,,
2:32.173,2,Pessoa,Red Bull,Colisão com Pessoa,Aviso,,,
2:44.551,2,Pessoa,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
2:44.558,2,Pessoa,Visa Cash App Racing Bulls,Múltiplas advertências,2 segundo(s),,,
4:08.207,3,Paulo,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
4:08.224,3,Paulo,Scuderia Ferrari HP,Múltiplas advertências,2 segundo(s),,,
4:15.304,3,Pessoa,Red Bull,Corte de curvas,2 segundo(s),,,
5:42.389,4,Paulo,Scuderia Ferrari HP,Corte de curvas,Aviso,,,
6:05.778,4,Paulo,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
6:44.519,5,Yohan,Red Bull,Limites da pista excedidos,Aviso,,,
6:46.456,5,Bryan,Scuderia Ferrari HP,Corte de curvas,Aviso,,,
7:15.828,5,Paulo,Scuderia Ferrari HP,Corte de curvas,Aviso,,,
7:15.845,5,Paulo,Scuderia Ferrari HP,Múltiplas advertências,2 segundo(s),,,
