Pos.,Piloto,Equipe,Grid,Paradas,Melhor tempo,Tempo,Pts.,tipo de piloto
1,Matheus,Visa Cash App Racing Bulls,2,4,1:13.851,52:12.571,25,Pessoa
2,Douglas,Mercedes-AMG Petronas,4,3,1:15.946,28.618,18,Pessoa
3,Paulo,Scuderia Ferrari HP,7,3,1:14.942,51.745,15,Pessoa
4,Gabriel,Visa Cash App Racing Bulls,5,3,1:15.627,53.051,12,Pessoa
5,Mike,Mercedes-AMG Petronas,8,5,1:16.260,+ 1 volta,10,Pessoa
6,Erick,Red Bull,6,2,1:15.637,NC,0,Pessoa
7,Bryan,Scuderia Ferrari HP,1,1,1:15.222,NC,0,Pessoa
8,Yohan,Red Bull,3,2,1:15.949,NC,0,Pessoa
,,,,,,,,
Tempo,Volta,Piloto,Equipe,Incidente,Punição,,,
7.74,1,Pessoa,Scuderia Ferrari HP,Corte de curvas,3 segundo(s),,,
8.035,1,Pessoa,Scuderia Ferrari HP,Corte de curvas,Aviso,,,
10.822,1,Gabriel,Visa Cash App Racing Bulls,Colisão com Yohan,Aviso,,,
11.245,1,Paulo,Scuderia Ferrari HP,Colisão com Erick,Aviso,,,
17.758,1,Pessoa,Red Bull,Colisão com Douglas,Aviso,,,
2:13.838,2,Paulo,Scuderia Ferrari HP,Corte de curvas,3 segundo(s),,,
2:15.655,2,Mike,Mercedes-AMG Petronas,Corte de curvas,Aviso,,,
2:22.670,2,Gabriel,Visa Cash App Racing Bulls,Corte de curvas,Aviso,,,
2:24.011,2,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
3:26.057,3,Matheus,Visa Cash App Racing Bulls,Corte de curvas,Punição de 10 segundo(s),,,
3:29.678,3,Gabriel,Visa Cash App Racing Bulls,Limites da pista excedidos,Aviso,,,
3:41.738,3,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
4:38.525,4,Pessoa,Scuderia Ferrari HP,Limites da pista excedidos,Aviso,,,
5:21.924,5,Paulo,Scuderia Ferrari HP,Corte de curvas,Aviso,,,
6:10.359,5,Mike,Mercedes-AMG Petronas,Limites da pista excedidos,Aviso,,,
6:19.216,5,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
6:19.229,5,Pessoa,Red Bull,Múltiplas advertências,3 segundo(s),,,
7:14.895,6,Pessoa,Red Bull,Corte de curvas,3 segundo(s),,,
7:28.194,6,Pessoa,Red Bull,Limites da pista excedidos,Aviso,,,
