race_id,driver_id,team_id,driver_start_position,driver_final_position,grid_result,driver_fastest_lap,points
1,1,1,7,6,-1,1:37.245,8
1,2,1,6,7,1,1:36.812,0
1,3,2,3,3,0,1:32.372,15
1,4,2,2,5,3,1:34.226,10
1,5,3,1,1,0,1:32.447,25
1,6,3,4,2,-2,1:32.389,18
1,7,4,5,4,-1,1:33.923,12
2,1,1,7,6,-1,1:38.528,3
2,2,1,6,5,-1,1:36.098,4
2,3,2,4,3,-1,1:34.880,6
2,4,2,1,4,3,1:35.061,5
2,5,3,3,2,-1,1:35.537,7
2,6,3,2,1,-1,1:34.979,8
2,7,4,5,7,2,1:37.851,0
3,1,1,6,7,1,1:40.632,0
3,2,1,7,5,-2,1:37.899,10
3,3,2,3,2,-1,1:36.691,18
3,4,2,2,3,1,1:35.542,15
3,5,3,1,1,0,1:36.086,25
3,6,3,4,4,0,1:36.021,12
3,7,4,5,6,1,1:36.992,8
4,1,1,7,7,0,1:33.381,0
4,2,1,6,5,-1,1:35.185,10
4,3,2,2,4,2,1:31.988,12
4,4,2,3,3,0,1:34.027,15
4,5,3,1,1,0,1:33.354,25
4,6,3,8,2,-6,1:33.236,18
4,7,4,5,8,3,1:35.493,0
4,8,5,4,6,2,1:33.628,8
4,9,5,9,9,0,9:99.999,0
5,1,1,9,9,0,1:32.614,0
5,2,1,10,10,0,1:33.351,0
5,3,2,4,3,-1,1:33.101,15
5,4,2,3,4,1,1:34.001,12
5,5,3,2,1,-1,1:32.022,25
5,6,3,1,2,1,1:31.695,18
5,7,4,7,7,0,1:34.245,0
5,8,5,5,5,0,1:32.197,10
5,9,5,8,8,0,1:32.460,0
5,10,4,6,6,0,1:33.471,8
6,1,1,10,9,-1,1:35.943,0
6,2,1,8,10,2,1:35.327,0
6,3,2,5,2,-3,1:34.129,18
6,4,2,7,8,1,1:34.841,0
6,5,3,3,4,1,1:31.545,12
6,6,3,4,3,-1,1:34.138,15
6,7,4,9,7,-2,1:35.169,0
6,8,5,2,5,3,1:33.532,10
6,9,5,6,6,0,1:32.804,8
6,10,4,1,1,0,1:32.861,25
7,1,1,7,6,-1,1:33.803,3
7,2,1,5,9,4,1:31.307,0
7,3,2,3,3,0,1:30.355,6
7,4,2,9,8,-1,1:31.168,0
7,5,3,6,5,-1,1:33.629,4
7,6,3,4,2,-2,1:29.441,7
7,7,4,8,10,2,1:32.793,0
7,8,5,2,4,2,1:31.676,5
7,9,5,10,7,-3,1:30.963,0
7,10,4,1,1,0,1:29.372,8
8,1,1,9,7,-2,1:33.004,0
8,2,1,8,5,-3,1:31.518,10
8,3,2,4,3,-1,1:30.651,15
8,4,2,6,10,4,1:31.234,0
8,5,3,2,9,7,1:30.308,0
8,6,3,10,2,-8,1:30.303,18
8,7,4,7,8,1,1:31.747,0
8,8,5,5,6,1,1:31.195,8
8,9,5,3,4,1,1:30.981,12
8,10,4,1,1,0,1:30.859,25
